WARN  Sunstriders (id:346) -> Dp20Mismatch {"listedDp20":432,"expectedDp20":430}
WARN  Sunstriders (id:2000346) -> Dp20Mismatch {"listedDp20":528,"expectedDp20":530}
WARN  Sunstriders (id:3000346) -> Dp20Mismatch {"listedDp20":576,"expectedDp20":575}
no rounding applied in game

WARN  White Rangers (id:357) -> Dp20Mismatch {"listedDp20":439.79999999999995,"expectedDp20":530}
WARN  White Rangers (id:1000357) -> Dp20Mismatch {"listedDp20":439.79999999999995,"expectedDp20":530}
WARN  White Rangers (id:2000357) -> Dp20Mismatch {"listedDp20":439.79999999999995,"expectedDp20":530}
WARN  White Rangers (id:3000357) -> Dp20Mismatch {"listedDp20":439.79999999999995,"expectedDp20":530}
atk rate seems to be 2500 rather than the listed 3000
hardcoded atk rate lead to wrong listed dp20?

WARN  Frost Sorceress (id:364) -> Dp20Mismatch {"listedDp20":220,"expectedDp20":280}
WARN  Frost Sorceress (id:1000364) -> Dp20Mismatch {"listedDp20":235,"expectedDp20":300}
WARN  Frost Sorceress (id:2000364) -> Dp20Mismatch {"listedDp20":265,"expectedDp20":330}
WARN  Frost Sorceress (id:3000364) -> Dp20Mismatch {"listedDp20":290,"expectedDp20":365}
listed atk rate of 1900 confirmed with 60s test in game, but files suggest atk rate 1510 // ability 962 has DurationSteps=300

WARN  Frost Mage (id:367) -> Dp20Mismatch {"listedDp20":360,"expectedDp20":355}
WARN  Frost Mage (id:1000367) -> Dp20Mismatch {"listedDp20":380,"expectedDp20":375}
slightly wrong values in game // is the avg dmg (57+85)/2=71 or 57*1.25=71.25?

WARN  Firedancer (id:378) -> Dp20Mismatch {"listedDp20":740,"expectedDp20":730}
WARN  Firedancer (id:1000378) -> Dp20Mismatch {"listedDp20":740,"expectedDp20":730}
WARN  Firedancer (id:2000378) -> Dp20Mismatch {"listedDp20":740,"expectedDp20":730}
WARN  Firedancer (id:3000378) -> Dp20Mismatch {"listedDp20":740,"expectedDp20":730}
listed dp20 seems to be based on atk rate of 3500 (cast+recast/resolve) but listed on card is 4s and 4s observed in game as well
-> how does unit get bumped up to atk rate 4000 in game?
-> dp20 should be lower?

WARN  Timeless One (id:402) -> Dp20Mismatch {"listedDp20":480,"expectedDp20":460}
WARN  Timeless One (id:1000402) -> Dp20Mismatch {"listedDp20":510,"expectedDp20":500}
has listed atk rate 3000 but based on code it should be 2500, observed in game is roughly 2600
listed dp20 is based on atk rate 2500 and slightly wrong on top of that

WARN  Shadow Mage (id:405) -> Dp20Mismatch {"listedDp20":1435,"expectedDp20":1455}
WARN  Shadow Mage (id:1000405) -> Dp20Mismatch {"listedDp20":1500,"expectedDp20":1530}
WARN  Shadow Mage (id:2000405) -> Dp20Mismatch {"listedDp20":1670,"expectedDp20":1695}
WARN  Shadow Mage (id:3000405) -> Dp20Mismatch {"listedDp20":1840,"expectedDp20":1860}
listed atk rate 4000 but in code its 3955, but dp20 based on atk rate 4000

WARN  Skyelf Templar (id:524) -> Dp20Mismatch {"listedDp20":1470,"expectedDp20":1345}
WARN  Skyelf Templar (id:1000524) -> Dp20Mismatch {"listedDp20":1470,"expectedDp20":1345}
WARN  Skyelf Templar (id:2000524) -> Dp20Mismatch {"listedDp20":1470,"expectedDp20":1345}
WARN  Skyelf Templar (id:3000524) -> Dp20Mismatch {"listedDp20":1470,"expectedDp20":1345}
WARN  Skyelf Commander (id:526) -> Dp20Mismatch {"listedDp20":1660,"expectedDp20":1515}
WARN  Skyelf Commander (id:1000526) -> Dp20Mismatch {"listedDp20":1660,"expectedDp20":1515}
WARN  Skyelf Commander (id:2000526) -> Dp20Mismatch {"listedDp20":1660,"expectedDp20":1515}
WARN  Skyelf Commander (id:3000526) -> Dp20Mismatch {"listedDp20":1660,"expectedDp20":1515}
WARN  Skyelf Sage (id:527) -> Dp20Mismatch {"listedDp20":1300,"expectedDp20":1190}
WARN  Skyelf Sage (id:1000527) -> Dp20Mismatch {"listedDp20":1375,"expectedDp20":1255}
WARN  Skyelf Sage (id:2000527) -> Dp20Mismatch {"listedDp20":1530,"expectedDp20":1400}
WARN  Skyelf Sage (id:3000527) -> Dp20Mismatch {"listedDp20":1645,"expectedDp20":1505}
WARN  Primeval Watcher (id:550) -> Dp20Mismatch {"listedDp20":7220,"expectedDp20":10045}
WARN  Primeval Watcher (id:1000550) -> Dp20Mismatch {"listedDp20":7220,"expectedDp20":10045}
WARN  Primeval Watcher (id:2000550) -> Dp20Mismatch {"listedDp20":7220,"expectedDp20":10045}
WARN  Primeval Watcher (id:3000550) -> Dp20Mismatch {"listedDp20":7220,"expectedDp20":10045}
WARN  Cultist Master (id:562) -> Dp20Mismatch {"listedDp20":615,"expectedDp20":600}
WARN  Cultist Master (id:3000562) -> Dp20Mismatch {"listedDp20":770,"expectedDp20":775}
WARN  War Eagle (id:661) -> Dp20Mismatch {"listedDp20":1400,"expectedDp20":1380}
WARN  War Eagle (id:1000661) -> Dp20Mismatch {"listedDp20":1400,"expectedDp20":1380}
WARN  War Eagle (id:2000661) -> Dp20Mismatch {"listedDp20":1400,"expectedDp20":1380}
WARN  War Eagle (id:3000661) -> Dp20Mismatch {"listedDp20":1400,"expectedDp20":1380}
WARN  Shadow Phoenix (id:663) -> Dp20Mismatch {"listedDp20":1500,"expectedDp20":4165}
WARN  Shadow Phoenix (id:1000663) -> Dp20Mismatch {"listedDp20":1500,"expectedDp20":4165}
WARN  Shadow Phoenix (id:2000663) -> Dp20Mismatch {"listedDp20":1500,"expectedDp20":4165}
WARN  Shadow Phoenix (id:3000663) -> Dp20Mismatch {"listedDp20":1500,"expectedDp20":4585}
WARN  Fallen Skyelf (id:664) -> Dp20Mismatch {"listedDp20":1560,"expectedDp20":1430}
WARN  Fallen Skyelf (id:1000664) -> Dp20Mismatch {"listedDp20":1560,"expectedDp20":1430}
WARN  Fallen Skyelf (id:2000664) -> Dp20Mismatch {"listedDp20":1560,"expectedDp20":1430}
WARN  Fallen Skyelf (id:3000664) -> Dp20Mismatch {"listedDp20":1560,"expectedDp20":1430}
WARN  Fire Dragon (id:1000677) -> Dp20Mismatch {"listedDp20":2270,"expectedDp20":2275}
WARN  Fire Dragon (id:2000677) -> Dp20Mismatch {"listedDp20":2500,"expectedDp20":2505}
WARN  Fire Dragon (id:3000677) -> Dp20Mismatch {"listedDp20":2750,"expectedDp20":2760}
WARN  Swamp Drake (id:707) -> Dp20Mismatch {"listedDp20":1770,"expectedDp20":1775}
WARN  Swamp Drake (id:1000707) -> Dp20Mismatch {"listedDp20":1770,"expectedDp20":1775}
WARN  Swamp Drake (id:2000707) -> Dp20Mismatch {"listedDp20":1770,"expectedDp20":1775}
WARN  Swamp Drake (id:3000707) -> Dp20Mismatch {"listedDp20":1770,"expectedDp20":1775}
WARN  Giant Wyrm (id:708) -> Dp20Mismatch {"listedDp20":4000,"expectedDp20":4300}
WARN  Giant Wyrm (id:1000708) -> Dp20Mismatch {"listedDp20":4230,"expectedDp20":4550}
WARN  Giant Wyrm (id:2000708) -> Dp20Mismatch {"listedDp20":4650,"expectedDp20":5015}
WARN  Giant Wyrm (id:3000708) -> Dp20Mismatch {"listedDp20":5115,"expectedDp20":5515}
WARN  Fire Worm (id:709) -> Dp20Mismatch {"listedDp20":4000,"expectedDp20":4800}
WARN  Fire Worm (id:1000709) -> Dp20Mismatch {"listedDp20":4000,"expectedDp20":4800}
WARN  Fire Worm (id:2000709) -> Dp20Mismatch {"listedDp20":4000,"expectedDp20":4800}
WARN  Fire Worm (id:3000709) -> Dp20Mismatch {"listedDp20":4000,"expectedDp20":4800}
WARN  Spitfire (id:778) -> Dp20Mismatch {"listedDp20":5880,"expectedDp20":2090}
WARN  Spitfire (id:1000778) -> Dp20Mismatch {"listedDp20":5980,"expectedDp20":2200}
WARN  Spitfire (id:2000778) -> Dp20Mismatch {"listedDp20":6130,"expectedDp20":2370}
WARN  Spitfire (id:3000778) -> Dp20Mismatch {"listedDp20":6330,"expectedDp20":2590}
WARN  Firedancer (Promo) (id:2001021) -> Dp20Mismatch {"listedDp20":740,"expectedDp20":730}
WARN  Swamp Drake (Promo) (id:2001031) -> Dp20Mismatch {"listedDp20":1770,"expectedDp20":1775}
